"","player","year","draft_year","qbr_pct","mean_epa","grades_offense","cpoe","pressure_to_sack_rate","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","cpoe_tot","ptsr_tot","plays_tot"
"68","Aaron Rodgers",2009,2005,0.90926838554474,0.207523370198957,86,4.10581232664082,25.7,673,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"69","Tom Brady",2018,2000,0.908694452340535,0.155492565469338,90.7,0.539571354977313,12.6,723,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"70","Joe Burrow",2021,2020,0.907350729297025,0.141293631487856,91.8,5.89698482647701,26.9,759,0.96144033799869,0.11969978598596,88.4529583211892,4.27018863413141,0.222836095764273,3504
"71","Carson Wentz",2017,2016,0.906243651437504,0.214424674242656,84.9,0.414583507344263,15.6,502,0.699974312784475,0.0246883244780608,71.7746132386508,-0.582893685404497,0.193265007320644,4099
"72","Russell Wilson",2018,2012,0.90487877936431,0.168727426074037,88.9,7.05901203934426,24.5,538,0.906928024300898,0.0941193665854502,81.7031982670744,4.81271859477548,0.19652448657188,8157
"73","Russell Wilson",2019,2012,0.901766106194127,0.131114263042675,91.9,7.10261070186442,19.1,690,0.906928024300898,0.0941193665854502,81.7031982670744,4.81271859477548,0.19652448657188,8157
"74","Jalen Hurts",2022,2020,0.900886403583373,0.169915452561695,88.2,2.88997762899565,21.2,637,0.918380040060316,0.115993794769591,81.179203539823,2.63807687881738,0.174137931034483,3699
"75","Andy Dalton",2015,2011,0.898993062897946,0.251681343712635,80.4,3.95457552565051,15.2,433,0.651017645246105,0.00911870113984911,70.4172870269428,-0.237496620137344,0.207317073170732,6547
"76","Tom Brady",2014,2000,0.896835679038132,0.194015558288451,85.4,2.2874181532422,11.7,753,0.975974394325955,0.185820821703601,86.6869699306091,1.63802309922167,0.148623279098874,11871
"77","Drew Brees",2013,2001,0.895544250216042,0.205075893775953,84.2,4.69242407828152,17.6,776,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"78","Tony Romo",2007,NA,0.894274143635283,0.220531873440221,82.6,4.6017090498171,12.9,601,0.888452665955759,0.138554442608871,75.5349141455437,3.60954522236787,0.171518987341772,4927
"79","Jared Goff",2024,2016,0.893997216065596,0.261399011140983,78.8,4.97590931398528,15.9,630,0.833830196091678,0.0923319973753453,74.6770649825494,0.0756370606061197,0.15255905511811,6068
"80","Baker Mayfield",2024,2018,0.892664636584503,0.182260680307892,85.9,4.09038845121552,24.4,680,0.799481316813573,0.0560112935566795,75.3476333907057,-0.523748714759328,0.209929078014184,4712
"81","Drew Brees",2008,2001,0.891269282017123,0.223643204271549,81.9,2.78159619860626,7.5,653,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"82","Robert Griffin",2012,2012,0.889295888847097,0.226172615491446,81.4,3.5108167825654,19.2,488,0.610682179933307,0.0346304752719863,65.9092628832355,0.575402116351448,0.226415094339623,1701
"83","David Garrard",2007,2002,0.888275832434596,0.230118900529635,80.9,4.02174767940192,16.5,429,0.779489288723323,0.0599047501638168,73.5797187899446,3.11655915570993,0.192399049881235,2463
"84","Nick Foles",2013,2012,0.887262166618618,0.256899535980633,78.3,5.54466706937587,22.6,397,0.518890232819552,-0.0271987566420665,66.7850060459492,0.585883137026518,0.154025670945158,2545
"85","Eli Manning",2011,2004,0.887201595401678,0.157945186657393,87.4,2.05941277269078,12.4,803,0.694153615545357,0.0282976552440639,71.1055609519184,-0.671334258350571,0.149146110056926,8283
"86","Patrick Mahomes",2023,2017,0.886617598041737,0.123424602859931,90.5,3.86645589801047,10.6,846,0.986311844782709,0.229853242061069,87.3423252775963,2.88014484254724,0.127845036319613,6164
"87","Ben Roethlisberger",2017,2004,0.885013298205545,0.164589117938426,86.5,2.77331053821726,12.6,654,0.872477730964763,0.103001646829373,77.1441827805985,2.37271850468163,0.201841620626151,9351
"88","Joe Burrow",2025,2020,0.884985689936609,0.106967979577243,91.8,4.65429821201871,19.8,288,0.96144033799869,0.11969978598596,88.4529583211892,4.27018863413141,0.222836095764273,3504
"89","Andrew Luck",2018,2012,0.884379425864605,0.112626044504502,91.2,0.160480115091664,9.5,757,0.864984268570616,0.0849663287576341,78.0720705064548,-1.17552394427875,0.123580494321977,4073
"90","Dak Prescott",2025,2016,0.884304159024432,0.159236787474705,86.9,2.16455712200028,13.3,659,0.91826649078844,0.126672625636074,80.1896866606983,1.56837276878728,0.162627894453419,5757
"91","Ben Roethlisberger",2014,2004,0.883604052364397,0.16367962043127,86.4,5.42349649877563,19.7,701,0.872477730964763,0.103001646829373,77.1441827805985,2.37271850468163,0.201841620626151,9351
"92","Philip Rivers",2008,2004,0.8831548809182,0.219542474109808,81.2,3.95379646755548,19.1,595,0.917394847674772,0.140416573109404,78.8187452677123,3.3383302806734,0.156499520919834,9390
"93","Tua Tagovailoa",2022,2020,0.881364193098407,0.209432491916475,81.9,1.43257022982112,18.9,432,0.829241027837772,0.0967667853471006,73.9006259204713,2.0909679449364,0.193504736129905,2733
"94","Patrick Mahomes",2021,2017,0.875803329616716,0.221376079456018,80.1,3.24676486704013,13.4,880,0.986311844782709,0.229853242061069,87.3423252775963,2.88014484254724,0.127845036319613,6164
"95","Matt Ryan",2018,2008,0.874632373555843,0.17417279843789,84.3,4.34989212941723,19.2,668,0.905821684389687,0.103304957449785,80.730351371077,2.39272746788411,0.1603125,9661
"96","Russell Wilson",2015,2012,0.874608727502705,0.202388861923493,81.7,7.28015001433933,18.3,672,0.906928024300898,0.0941193665854502,81.7031982670744,4.81271859477548,0.19652448657188,8157
"97","Baker Mayfield",2020,2018,0.873877791154309,0.157954662170647,85.7,1.99452680097661,17.4,612,0.799481316813573,0.0560112935566795,75.3476333907057,-0.523748714759328,0.209929078014184,4712
"98","Brock Purdy",2025,2022,0.873259976650621,0.160391976698435,85.4,5.60002188991617,9,384,0.978506226093028,0.224856950764192,84.0822580645161,3.3169739656052,0.133720930232558,1827
"99","Matthew Stafford",2019,2009,0.873173464247091,0.190697700451369,82.6,2.08775563768938,15,320,0.848358569582663,0.0779857511209702,77.2090909090909,-1.07672975651007,0.180039138943249,10152
"100","Brock Purdy",2024,2022,0.873126921506566,0.192808815996341,82.4,2.062583592805,15.5,537,0.978506226093028,0.224856950764192,84.0822580645161,3.3169739656052,0.133720930232558,1827
"101","Andrew Luck",2016,2012,0.872690760819429,0.105314550915599,90.4,1.22220963519241,14.7,628,0.864984268570616,0.0849663287576341,78.0720705064548,-1.17552394427875,0.123580494321977,4073
"102","Tony Romo",2010,NA,0.870846513962933,0.0865879116549829,91.9,6.10230879260684,10.6,223,0.888452665955759,0.138554442608871,75.5349141455437,3.60954522236787,0.171518987341772,4927
"103","Justin Herbert",2024,2020,0.870266355756792,0.0934336585191152,91.2,0.545026949918478,21.5,618,0.916847081363501,0.0880793321491553,83.5201348988259,0.290545894438753,0.168914123491838,4098
"104","Lamar Jackson",2023,2018,0.87010865294602,0.101919241072233,90.4,3.19056719721806,19.1,633,0.947985789496349,0.151695555005889,82.6389319092123,1.71496895980152,0.186909090909091,4479
"105","Drake Maye",2025,2024,0.869678773439338,0.206744217232269,80.7,8.00399916549014,23.9,755,0.888356732542734,0.123483436550622,76.8994902293968,6.16922861554525,0.230769230769231,1210
"106","Matt Ryan",2017,2008,0.869415704085729,0.123831487590563,88.3,2.81808403755014,13.5,644,0.905821684389687,0.103304957449785,80.730351371077,2.39272746788411,0.1603125,9661
"107","Drew Brees",2015,2001,0.869038779866756,0.139638339542454,86.8,2.04870116509748,16.3,661,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"108","Russell Wilson",2020,2012,0.867156806150409,0.0970080543054422,90.5,5.82042665464476,18.8,696,0.906928024300898,0.0941193665854502,81.7031982670744,4.81271859477548,0.19652448657188,8157
"109","Aaron Rodgers",2018,2005,0.866073266444842,0.111915562147664,89,-0.593552154043446,21.8,681,0.964422122476818,0.163827268420847,85.178209317524,2.99957662314051,0.206874802901293,10789
"110","Drew Brees",2014,2001,0.865946992597327,0.110667714703465,89.1,3.44432956412619,12.6,702,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"111","Ryan Fitzpatrick",2018,2005,0.864704140777494,0.165580123463296,83.9,5.24838347824252,13.9,285,0.579017019221932,0.0214060981796244,65.4498023005032,-0.630337029579215,0.160486995019369,5674
"112","Matthew Stafford",2023,2009,0.86329952837542,0.117085665997548,88.2,-1.94577268256132,15.8,605,0.848358569582663,0.0779857511209702,77.2090909090909,-1.07672975651007,0.180039138943249,10152
"113","Matt Schaub",2009,2004,0.86323901777071,0.166986107371581,83.6,5.02444841815795,14.4,626,0.823389017341311,0.0775286493325375,75.1906028870648,2.2093969176906,0.152347209920283,3571
"114","Ben Roethlisberger",2010,2004,0.862643805126315,0.155372544161597,84.6,3.32362445772335,21.1,546,0.872477730964763,0.103001646829373,77.1441827805985,2.37271850468163,0.201841620626151,9351
"115","Jalen Hurts",2024,2020,0.862483887020856,0.188851630899125,81.5,7.74962541660624,22.9,556,0.918380040060316,0.115993794769591,81.179203539823,2.63807687881738,0.174137931034483,3699
"116","Ben Roethlisberger",2009,2004,0.861681659259959,0.147647679100445,85.2,5.39316596615149,32.1,567,0.872477730964763,0.103001646829373,77.1441827805985,2.37271850468163,0.201841620626151,9351
"117","Drew Brees",2010,2001,0.860613905991105,0.125673244106332,87.1,5.86033444532326,12.4,747,0.972869350048072,0.178803718600378,86.2635875620379,4.13183080485271,0.133609333835152,9937
"118","Dak Prescott",2020,2016,0.859588319014685,0.145043039473755,85.2,0.303550187600862,14.9,240,0.91826649078844,0.126672625636074,80.1896866606983,1.56837276878728,0.162627894453419,5757
"119","Dak Prescott",2019,2016,0.859551902201163,0.200406931115891,80.1,0.966191721252269,11.3,639,0.91826649078844,0.126672625636074,80.1896866606983,1.56837276878728,0.162627894453419,5757
"120","Ben Roethlisberger",2007,2004,0.859538177652341,0.181920288422437,81.8,6.40764817800544,27.5,524,0.872477730964763,0.103001646829373,77.1441827805985,2.37271850468163,0.201841620626151,9351
"121","Colin Kaepernick",2012,2011,0.858606377579529,0.2133631676194,78.8,4.07514294971785,18.3,354,0.638863710125316,0.0693191698095229,64.2599193909539,-1.84904335711243,0.217654171704958,2424
"122","Kirk Cousins",2021,2012,0.857453403349644,0.109820175099405,88.2,1.35027270354816,13.6,611,0.840447634789991,0.0639162014045631,77.8174397314617,2.16821688592393,0.156331877729258,6663
